epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,13588.2,0.8644,2.1568,1.077,0.69707,0.86948,0.83823,0.6275,0.90925,1.94943,1.05885,0.00102196,0.00102196,0.00102196
100,13712.6,0.86685,2.13927,1.08105,0.69333,0.87829,0.84126,0.63892,0.89535,1.93093,1.05799,0.00101198,0.00101198,0.00101198
101,13839.8,0.86545,2.11892,1.06913,0.70531,0.87592,0.84481,0.63862,0.887,1.88023,1.04925,0.001002,0.001002,0.001002
102,13962.4,0.86669,2.13753,1.07682,0.68993,0.87241,0.84021,0.63479,0.891,1.91071,1.05389,0.00099202,0.00099202,0.00099202
103,14085.4,0.87391,2.15145,1.07646,0.7086,0.88076,0.84433,0.63208,0.89831,1.8724,1.0528,0.00098204,0.00098204,0.00098204
104,14217,0.85746,2.10659,1.06996,0.70108,0.86828,0.84268,0.63307,0.89586,1.88187,1.0563,0.00097206,0.00097206,0.00097206
105,14350,0.85548,2.11239,1.06831,0.71364,0.859,0.84424,0.63798,0.89145,1.85657,1.05327,0.00096208,0.00096208,0.00096208
106,14484.8,0.8656,2.10855,1.07722,0.6985,0.87271,0.83597,0.62718,0.88604,1.89005,1.05848,0.0009521,0.0009521,0.0009521
107,14607.4,0.86314,2.09092,1.07288,0.7123,0.87106,0.84323,0.63647,0.88305,1.88385,1.04915,0.00094212,0.00094212,0.00094212
108,14730.6,0.85839,2.0779,1.07802,0.71834,0.86655,0.83803,0.63404,0.89167,1.91604,1.06364,0.00093214,0.00093214,0.00093214
109,14854.3,0.84559,2.0897,1.06818,0.71747,0.87431,0.85128,0.64202,0.88981,1.8406,1.05733,0.00092216,0.00092216,0.00092216
110,14980.4,0.84765,2.07917,1.06548,0.73364,0.83711,0.85207,0.6412,0.88238,1.84607,1.05584,0.00091218,0.00091218,0.00091218
111,15103.2,0.84977,2.06451,1.06739,0.71593,0.86557,0.84593,0.63793,0.87947,1.86866,1.05279,0.0009022,0.0009022,0.0009022
112,15227.6,0.84647,2.08441,1.06489,0.7135,0.87401,0.83442,0.62706,0.88426,1.90032,1.05333,0.00089222,0.00089222,0.00089222
113,15351.9,0.8452,2.06656,1.07173,0.71806,0.87875,0.8403,0.63142,0.88952,1.88535,1.0616,0.00088224,0.00088224,0.00088224
114,15478.1,0.84677,2.06799,1.0693,0.72826,0.85275,0.84326,0.63973,0.88478,1.86888,1.05915,0.00087226,0.00087226,0.00087226
115,15602.7,0.83868,2.02176,1.06281,0.71813,0.85648,0.83934,0.6367,0.88301,1.87179,1.0588,0.00086228,0.00086228,0.00086228
116,15727.5,0.83208,2.04371,1.05513,0.72128,0.87091,0.84127,0.63663,0.88554,1.88734,1.05773,0.0008523,0.0008523,0.0008523
117,15853.3,0.83365,2.04799,1.06103,0.71651,0.8675,0.84339,0.63867,0.88729,1.88504,1.05719,0.00084232,0.00084232,0.00084232
118,15980.4,0.82869,2.045,1.05764,0.71041,0.87673,0.84235,0.6344,0.87924,1.90032,1.05788,0.00083234,0.00083234,0.00083234
119,16106.8,0.82796,1.99444,1.05724,0.73295,0.83559,0.84016,0.63492,0.87383,1.92003,1.05535,0.00082236,0.00082236,0.00082236
120,16233,0.83154,2.01341,1.05595,0.72141,0.86423,0.84702,0.63767,0.88024,1.91641,1.05758,0.00081238,0.00081238,0.00081238
121,16358.1,0.8295,2.00806,1.06042,0.71391,0.87323,0.8417,0.63848,0.88127,1.89421,1.05639,0.0008024,0.0008024,0.0008024
122,16482.6,0.82362,1.96717,1.05955,0.71812,0.87698,0.84316,0.63867,0.8825,1.88878,1.05336,0.00079242,0.00079242,0.00079242
123,16607.3,0.82621,2.0084,1.05532,0.7227,0.86072,0.83971,0.64093,0.87681,1.876,1.05155,0.00078244,0.00078244,0.00078244
124,16742.4,0.81373,1.98072,1.04883,0.72656,0.85595,0.83704,0.63752,0.8766,1.89363,1.05289,0.00077246,0.00077246,0.00077246
125,16865.5,0.82835,1.9841,1.05852,0.73554,0.83397,0.83605,0.63577,0.87834,1.91704,1.05422,0.00076248,0.00076248,0.00076248
126,16988.2,0.82131,1.97962,1.05422,0.71771,0.85614,0.84379,0.64363,0.875,1.87642,1.04992,0.0007525,0.0007525,0.0007525
127,17112.5,0.81284,1.98945,1.04767,0.72888,0.83992,0.84554,0.6434,0.87383,1.87933,1.04871,0.00074252,0.00074252,0.00074252
128,17238.1,0.80303,1.9479,1.04099,0.72016,0.85157,0.84863,0.64615,0.87119,1.84539,1.04845,0.00073254,0.00073254,0.00073254
129,17389,0.81415,1.97535,1.04703,0.74049,0.8446,0.84704,0.64672,0.86553,1.86748,1.04798,0.00072256,0.00072256,0.00072256
130,17517.1,0.81606,2.0035,1.04821,0.73158,0.8726,0.84786,0.6501,0.86197,1.85832,1.04495,0.00071258,0.00071258,0.00071258
131,17641.1,0.80628,1.94485,1.04267,0.74021,0.8612,0.8482,0.64537,0.86839,1.86062,1.04943,0.0007026,0.0007026,0.0007026
132,17765.6,0.79243,1.96352,1.03864,0.72156,0.86913,0.84562,0.64468,0.87122,1.86027,1.05255,0.00069262,0.00069262,0.00069262
133,17890,0.81191,1.93697,1.05301,0.73592,0.84788,0.84511,0.64197,0.87212,1.85544,1.05263,0.00068264,0.00068264,0.00068264
134,18014.6,0.79465,1.94319,1.04471,0.73981,0.8391,0.84516,0.64549,0.87431,1.8621,1.05976,0.00067266,0.00067266,0.00067266
135,18139,0.7936,1.93734,1.04229,0.73836,0.84581,0.84383,0.6416,0.87042,1.8738,1.05447,0.00066268,0.00066268,0.00066268
136,18263.4,0.80635,1.93406,1.04452,0.73647,0.84687,0.84256,0.64107,0.86504,1.87984,1.04991,0.0006527,0.0006527,0.0006527
137,18387.8,0.7989,1.9207,1.04089,0.72792,0.85585,0.84361,0.64471,0.86136,1.88769,1.04723,0.00064272,0.00064272,0.00064272
138,18512.7,0.79581,1.91633,1.04162,0.73902,0.85633,0.84224,0.64547,0.85917,1.89898,1.04736,0.00063274,0.00063274,0.00063274
139,18635.9,0.79286,1.91598,1.03945,0.74592,0.84036,0.83497,0.641,0.86237,1.90729,1.05282,0.00062276,0.00062276,0.00062276
140,18758.7,0.79621,1.92008,1.03988,0.74373,0.83446,0.83679,0.63981,0.86101,1.91027,1.04684,0.00061278,0.00061278,0.00061278
141,18882.4,0.79268,1.91451,1.03978,0.73542,0.83491,0.83353,0.63828,0.8604,1.92015,1.04707,0.0006028,0.0006028,0.0006028
142,19006.3,0.79363,1.89318,1.03988,0.7411,0.83555,0.84186,0.64658,0.85815,1.87648,1.04803,0.00059282,0.00059282,0.00059282
143,19130,0.78803,1.88399,1.04093,0.74457,0.83658,0.84247,0.64684,0.8572,1.89405,1.04733,0.00058284,0.00058284,0.00058284
144,19253.7,0.76925,1.83453,1.02521,0.74123,0.84157,0.83707,0.64606,0.85373,1.90423,1.04359,0.00057286,0.00057286,0.00057286
145,19377.3,0.77698,1.87092,1.02713,0.72145,0.85605,0.83671,0.64099,0.85749,1.92045,1.04923,0.00056288,0.00056288,0.00056288
146,19501.2,0.77563,1.87806,1.03337,0.73534,0.84271,0.83749,0.64378,0.85563,1.9033,1.05091,0.0005529,0.0005529,0.0005529
147,19625.3,0.77916,1.8267,1.03365,0.73461,0.84836,0.83464,0.64403,0.85529,1.89915,1.05177,0.00054292,0.00054292,0.00054292
148,19748.9,0.78128,1.86241,1.03231,0.75078,0.83498,0.83785,0.64765,0.85573,1.89261,1.05519,0.00053294,0.00053294,0.00053294
149,19872.6,0.78586,1.85863,1.0379,0.75599,0.83259,0.83637,0.64724,0.85538,1.89625,1.05559,0.00052296,0.00052296,0.00052296
150,19996.9,0.76625,1.84442,1.02757,0.74929,0.83683,0.83889,0.64368,0.85782,1.90145,1.05486,0.00051298,0.00051298,0.00051298
151,20120.4,0.77084,1.8281,1.02828,0.74591,0.84528,0.84209,0.64727,0.85756,1.88981,1.05046,0.000503,0.000503,0.000503
152,20244.6,0.76512,1.82541,1.02604,0.7425,0.84709,0.84543,0.65014,0.85615,1.89227,1.04811,0.00049302,0.00049302,0.00049302
153,20369.3,0.77024,1.81316,1.02512,0.73587,0.85263,0.8428,0.64729,0.85558,1.91336,1.04821,0.00048304,0.00048304,0.00048304
154,20493.9,0.76923,1.80096,1.02322,0.71869,0.8851,0.84216,0.64648,0.85481,1.92918,1.04822,0.00047306,0.00047306,0.00047306
155,20618.2,0.76883,1.8139,1.02495,0.72826,0.85727,0.84055,0.64696,0.85215,1.92399,1.04914,0.00046308,0.00046308,0.00046308
